true_angle,semi_major_axis,semi_minor_axis,eccentricity,mean_x,mean_y,std_x,std_y
0,1.339,1.326,0.142,-3.492,-0.004,0.556,0.548
0,1.346,1.325,0.175,-3.492,-0.004,0.556,0.548
0,1.34,1.324,0.154,-3.492,-0.004,0.556,0.548
0,1.339,1.324,0.151,-3.492,-0.004,0.556,0.548
0,1.347,1.314,0.221,-3.492,-0.004,0.556,0.548
0,1.342,1.322,0.169,-3.492,-0.004,0.556,0.548
0,1.348,1.309,0.238,-3.492,-0.004,0.556,0.548
0,1.342,1.314,0.204,-3.492,-0.004,0.556,0.548
0,1.341,1.328,0.135,-3.492,-0.004,0.556,0.548
0,1.346,1.316,0.209,-3.492,-0.004,0.556,0.548
1,1.351,1.321,0.208,-3.42,-0.0,0.549,0.553
1,1.343,1.319,0.188,-3.42,-0.0,0.549,0.553
1,1.341,1.334,0.103,-3.42,-0.0,0.549,0.553
1,1.326,1.326,0.017,-3.42,-0.0,0.549,0.553
1,1.344,1.328,0.151,-3.42,-0.0,0.549,0.553
1,1.339,1.332,0.103,-3.42,-0.0,0.549,0.553
1,1.346,1.31,0.232,-3.42,-0.0,0.549,0.553
1,1.351,1.288,0.301,-3.42,-0.0,0.549,0.553
1,1.341,1.33,0.124,-3.42,-0.0,0.549,0.553
1,1.339,1.318,0.175,-3.42,-0.0,0.549,0.553
